Designator,Mid X,Mid Y,Layer,Rotation,Comment,Footprint
U12,48.000000,-74.000000,Top,0.000000,LM13700,SOIC-16_3.9x9.9mm_P1.27mm
U13,72.000000,-86.000000,Top,0.000000,CD4051B,SOIC-16_3.9x9.9mm_P1.27mm
U14,38.000000,-44.000000,Top,0.000000,TL074,SOIC-14_3.9x8.7mm_P1.27mm
U15,38.000000,-60.000000,Top,0.000000,LM13700,SOIC-16_3.9x9.9mm_P1.27mm
U16,24.000000,-52.000000,Top,0.000000,TL074,SOIC-14_3.9x8.7mm_P1.27mm
U17,124.000000,-78.000000,Top,0.000000,TL074,SOIC-14_3.9x8.7mm_P1.27mm
U18,80.000000,-27.000000,Top,0.000000,L78L09,SOT-89-3
U19,88.000000,-16.000000,Top,0.000000,MP1584EN,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm
U20,38.000000,-98.000000,Top,90.000000,Raspberry Pi Pico,RPi_Pico_SMD
U21,86.000000,-96.000000,Top,0.000000,74HC4067,SOIC-24W_7.5x15.4mm_P1.27mm
U22,84.000000,-110.000000,Top,0.000000,74AHCT1G125,SOT-23-5
